Test Sector:
Device ID, Channel, Tile ID, trial, x, y, IMON, RMON, VCOMP
xorigincm, xfinalcm, xsteplengthcm, xsteps = 0.785441, 69.6994, 0.24752, 278
yorigincm, yfinalcm, ysteplengthcm, nRepeat = 23.5195, 33.2992, 0.0351259, 5
1, 0, 1, 0, 0, 0, 0.180, 1.389, 0.004

0, 1, 2, 0, 0, 0, 0.150, 1.398, 0.004

0, 2, 4, 0, 0, 0, 0.140, 1.403, 0.004

0, 3, 6, 0, 0, 0, 0.210, 1.397, 0.004

0, 4, 8, 0, 0, 0, 0.140, 1.401, 0.004

0, 5, 10, 0, 0, 0, 0.160, 1.405, 0.004

0, 6, 12, 0, 0, 0, 0.170, 1.406, 0.004

0, 7, 14, 0, 0, 0, 0.140, 1.394, 0.004

0, 8, 16, 0, 0, 0, 0.180, 1.412, 0.004

0, 9, 18, 0, 0, 0, 0.160, 1.410, 0.004

0, 10, 20, 0, 0, 0, 0.170, 1.403, 0.004

0, 11, 22, 0, 0, 0, 0.140, 1.413, 0.004

1, 0, 1, 1, 0, 0, 0.170, 1.387, 0.004

0, 1, 2, 1, 0, 0, 0.140, 1.397, 0.004

0, 2, 4, 1, 0, 0, 0.140, 1.405, 0.004

0, 3, 6, 1, 0, 0, 0.210, 1.387, 0.004

0, 4, 8, 1, 0, 0, 0.140, 1.399, 0.004

0, 5, 10, 1, 0, 0, 0.170, 1.402, 0.004

0, 6, 12, 1, 0, 0, 0.170, 1.406, 0.004

0, 7, 14, 1, 0, 0, 0.140, 1.402, 0.004

0, 8, 16, 1, 0, 0, 0.180, 1.405, 0.004

0, 9, 18, 1, 0, 0, 0.160, 1.416, 0.004

0, 10, 20, 1, 0, 0, 0.170, 1.397, 0.004

0, 11, 22, 1, 0, 0, 0.140, 1.413, 0.004

1, 0, 1, 2, 0, 0, 0.170, 1.387, 0.004

0, 1, 2, 2, 0, 0, 0.140, 1.394, 0.004

0, 2, 4, 2, 0, 0, 0.140, 1.408, 0.004

0, 3, 6, 2, 0, 0, 0.210, 1.407, 0.004

0, 4, 8, 2, 0, 0, 0.140, 1.394, 0.004

0, 5, 10, 2, 0, 0, 0.160, 1.405, 0.004

0, 6, 12, 2, 0, 0, 0.170, 1.402, 0.004

0, 7, 14, 2, 0, 0, 0.140, 1.400, 0.004

0, 8, 16, 2, 0, 0, 0.180, 1.408, 0.004

0, 9, 18, 2, 0, 0, 0.160, 1.406, 0.004

0, 10, 20, 2, 0, 0, 0.170, 1.400, 0.004

0, 11, 22, 2, 0, 0, 0.140, 1.413, 0.004

1, 0, 1, 3, 0, 0, 0.170, 1.397, 0.004

0, 1, 2, 3, 0, 0, 0.150, 1.405, 0.004

0, 2, 4, 3, 0, 0, 0.130, 1.406, 0.004

0, 3, 6, 3, 0, 0, 0.210, 1.396, 0.004

0, 4, 8, 3, 0, 0, 0.140, 1.401, 0.004

0, 5, 10, 3, 0, 0, 0.160, 1.394, 0.004

0, 6, 12, 3, 0, 0, 0.170, 1.402, 0.004

0, 7, 14, 3, 0, 0, 0.140, 1.400, 0.004

0, 8, 16, 3, 0, 0, 0.180, 1.410, 0.004

0, 9, 18, 3, 0, 0, 0.160, 1.410, 0.004

0, 10, 20, 3, 0, 0, 0.170, 1.397, 0.004

0, 11, 22, 3, 0, 0, 0.140, 1.413, 0.004

1, 0, 1, 4, 0, 0, 0.170, 1.395, 0.004

0, 1, 2, 4, 0, 0, 0.150, 1.401, 0.004

0, 2, 4, 4, 0, 0, 0.140, 1.411, 0.004

